Date,Product,Quantity,SalePrice
2022-01-01,Shirt,10,20.00
2022-01-02,Pants,5,25.00
2022-01-03,Shoes,3,50.00
2022-01-04,Hat,2,15.00
2022-01-05,Shirt,7,20.00
2022-01-06,Pants,6,25.00
2022-01-07,Shoes,4,50.00
2022-01-08,Hat,3,15.00
2022-01-09,Shirt,8,20.00
2022-01-10,Pants,4,25.00
2022-01-11,Shoes,9,50.00
2022-01-12,Hat,1,15.00
2022-01-13,Shirt,3,20.00
2022-01-14,Pants,7,25.00
2022-01-15,Shoes,5,50.00
2022-01-16,Hat,4,15.00
2022-01-17,Shirt,6,20.00
2022-01-18,Pants,8,25.00
2022-01-19,Shoes,2,50.00
2022-01-20,Hat,5,15.00
2022-01-21,Shirt,9,20.00
2022-01-22,Pants,3,25.00
2022-01-23,Shoes,1,50.00
2022-01-24,Hat,6,15.00
2022-01-25,Shirt,5,20.00
2022-01-26,Pants,2,25.00
2022-01-27,Shoes,8,50.00
2022-01-28,Hat,3,15.00
2022-01-29,Shirt,4,20.00
2022-01-30,Pants,7,25.00
2022-01-31,Shoes,2,50.00
2022-02-01,Hat,5,15.00
